McFarlane figures (2020–present),,,
,,,
Standard figures,,,
Q2 2025,Cyborg Superman,"2 alternate hands, display stand and Ivan Reis art card",Reign of the Supermen version
Q3 2025,Azrael,Display stand and card,Knightquest version
Q3 2025,Batman,"Batarang, display stand and card",Batman: Troika version
Q3 2025,Batwing (Luke Fox),"Exhaust flame effect piece, display stand and card",Batwing V. 2.0 version
Q3 2025,Batgirl (Barbara Gordon),"Batarang, grappling hook pistol, display stand and art card",DC Classic version
Q3 2025,Batman,"Gas canister, grappling hook, display stand and David Finch art card",Batman Inc. version
Q3 2025,Riddler,"Cane, display stand and Jim Lee art card",Batman: Hush version
Q3 2025,Scarecrow,"Sickle, skull, display stand and art card",DC Classic version
Q3 2025,Batman (Dick Grayson),"2 alternate hands, display stand and Jorge Jimenez art card",Earth-2: Society version
Q3 2025,Black Mask,"Key ring, 3 alternate hands, display stand and Cliff Chiang art card",Beneath the Mask version
Q4 2025,Superman,Display stand and card,Superman and the Authority version
Q4 2025,Flash (Wally West),Display stand and card,JLA version
Q4 2025,Rocket Red Brigade,Display stand and card,Justice League: Generation Lost version
Q4 2025,Larfleeze,Display stand and card,Blackest Night version
Q4 2025,Ice,Display stand and card,Justice League International version
Build-A,,,
Q1 2020,Batgirl (Barbara Gordon),"Grappling pistol, batarang, Batmobile piece, display stand and Sean Gordon Murphy art card",DC Rebirth version
Q1 2020,Nightwing,"Eskrima sticks, Batmobile piece, display stand and Ivan Reis art card",DC Rebirth version
Q1 2020,The Batman Who Laughs,"Knife, sickle, Batmobile piece, display stand and Jock art card",Dark Nights: Metal version
Fall 2020,Robin (Earth -22),Display stand and Mirka Andolfo art card,Dark Nights: Metal version Three different head sculpts available
Fall 2020,Superman,"Alternate hands, display stand and David Marquez art card",Year of the Villain: The Infected version
Fall 2020,Batman,"Twin axes, display stand and Greg Capullo art card",Dark Nights: Metal version
Fall 2020,The Batman Who Laughs,Display stand and Tyler Kirkham art card,Sky Tyrant wings version Retool of the original The Batman Who Laughs figure
Feb 2021,Batman,"Joker's preserved head, baton, display stand and Greg Capullo art card",Batman: Last Knight on Earth version
Feb 2021,Scarecrow,Flight stand and Greg Capullo art card,Batman: Last Knight on Earth version
Feb 2021,Wonder Woman,"Sword, display stand and Greg Capullo art card",Batman: Last Knight on Earth version
Feb 2021,Omega,"Alternate hands, display stand and Greg Capullo art card",Batman: Last Knight on Earth version
Spring 2021,Wonder Woman,"Chainsaw of Truth, stand and photo card",Dark Nights: Death Metal version
Spring 2021,Superman,"2 alternate hands, stand and photo card",Dark Nights: Death Metal version
Spring 2021,Robin King (Dark Multiverse Robin),"2 alternate hands, stand and photo card",Dark Nights: Death Metal version
Spring 2021,Batman,"Guitar, stand and photo card",Dark Nights: Death Metal version Reissue of the previous Dark Nights: Death Metal Batman with new accessories
Sep 2021,Peacemaker,"Sword, display stand and John Cena photo card",The Suicide Squad version
Sep 2021,Peacemaker,"Throwing axe, display stand and black & white John Cena photo card",Unmasked version Target exclusive
Sep 2021,Bloodsport,"Twin katanas, display stand and Idris Elba photo card",The Suicide Squad version
Sep 2021,Bloodsport,"Twin katanas, display stand and black & white Idris Elba photo card",Unmasked version Walmart exclusive
Sep 2021,Harley Quinn,"Javelin's javelin, display stand and Margot Robbie photo card",The Suicide Squad version
Sep 2021,Polka-Dot Man,"Goggles, polka-dot energy effect piece, display stand and David Dastmalchian photo card",The Suicide Squad version
Q1 2022,Batman,"2 alternate hands, grappling hook, display stand and toy photo card",The Dark Knight Returns version
Q1 2022,Batman,"2 alternate hands, grappling hook, display stand and artist proof toy photo card",The Dark Knight Returns version Artist Proof (Chase - Platinum Edition)
Q1 2022,Robin (Carrie Kelley),"Sling shot, display stand and toy photo card",The Dark Knight Returns version
Q1 2022,Robin (Carrie Kelley),"Sling shot, display stand and artist proof toy photo card",The Dark Knight Returns version Artist Proof (Chase - Platinum Edition)
Q1 2022,Superman,"2 alternate hands, display stand and toy photo card",The Dark Knight Returns version
Q1 2022,The Joker,"Alternate hand, knife, display stand and toy photo card",The Dark Knight Returns version
Q2 2022,Batman,"Sword, batmine, display stand and toy photo card",Endless Winter version
Q2 2022,Wonder Woman,"Sword, display stand and toy photo card",Endless Winter version
Q2 2022,Black Adam,"2 electricity accessories, display stand and toy photo card",Endless Winter version Redeco of King Shazam Year of the Villain: The Infected with new head
Q2 2022,Green Lantern (John Stewart),"2 energy swords, display stand and Juan José Ryp art card",Rerelease of DC Rebirth version
